cve,repo,commit
CVE-2016-10063,ImageMagick,94936efda8aa63563211eda07a5ade92abb32f7a
CVE-2016-10064,ImageMagick,63302366a63602acbaad5c8223a105811b2adddd
CVE-2016-10065,ImageMagick,134463b926fa965571aa4febd61b810be5e7da05
CVE-2016-10066,ImageMagick,e45e48b881038487d0bc94d92a16c1537616cc0a
CVE-2016-10070,ImageMagick,a6240a163cb787909703d9fc649cf861f60ddd7c
CVE-2016-10071,ImageMagick,1bc1fd0ff8c555841c78829217ac81fa0598255d
CVE-2016-10144,ImageMagick,9a069e0f2e027ec5138f998023cf9cb62c04889f
CVE-2016-10252,ImageMagick,6790815c75bdea0357df5564345847856e995d6b
CVE-2016-3714,ImageMagick,90406972f108c4da71f998601b06abdc2ac6f06e
CVE-2016-4562,ImageMagick,726812fa2fa7ce16bcf58f6e115f65427a1c0950
CVE-2016-4563,ImageMagick,726812fa2fa7ce16bcf58f6e115f65427a1c0950
CVE-2016-4564,ImageMagick,726812fa2fa7ce16bcf58f6e115f65427a1c0950
CVE-2016-5118,ImageMagick,40639d173aa8c76b850d625c630b711fee4dcfb8
CVE-2016-5688,ImageMagick,aecd0ada163a4d6c769cec178955d5f3e9316f2f
CVE-2016-5689,ImageMagick,5511ef530576ed18fd636baa3bb4eda3d667665d
CVE-2016-5690,ImageMagick,5511ef530576ed18fd636baa3bb4eda3d667665d
CVE-2016-5691,ImageMagick,5511ef530576ed18fd636baa3bb4eda3d667665d
CVE-2016-5841,ImageMagick,d8ab7f046587f2e9f734b687ba7e6e10147c294b
CVE-2016-5842,ImageMagick,d8ab7f046587f2e9f734b687ba7e6e10147c294b
CVE-2016-6491,ImageMagick,dd84447b63a71fa8c3f47071b09454efc667767b
CVE-2016-6823,ImageMagick,4cc6ec8a4197d4c008577127736bf7985d632323
CVE-2016-7101,ImageMagick,7afcf9f71043df15508e46f079387bd4689a738d
CVE-2016-7514,ImageMagick,198fffab4daf8aea88badd9c629350e5b26ec32f
CVE-2016-7515,ImageMagick,2ad6d33493750a28a5a655d319a8e0b16c392de1
CVE-2016-7520,ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556
CVE-2016-7521,ImageMagick,30eec879c8b446b0ea9a3bb0da1a441cc8482bc4
CVE-2016-7522,ImageMagick,4b1b9c0522628887195bad3a6723f7000b0c9a58
CVE-2016-7524,ImageMagick,f8c318d462270b03e77f082e2a3a32867cacd3c6
CVE-2016-7525,ImageMagick,5f16640725b1225e6337c62526e6577f0f88edb8
CVE-2016-7526,ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77
CVE-2016-7527,ImageMagick,b3dd69b23e9338806891c708a0cc8a82c0d1872a
CVE-2016-7528,ImageMagick,7be16a280014f895a951db4948df316a23dabc09
CVE-2016-7529,ImageMagick,a2e1064f288a353bc5fef7f79ccb7683759e775c
CVE-2016-7530,ImageMagick,c4e63ad30bc42da691f2b5f82a24516dd6b4dc70
CVE-2016-7532,ImageMagick,4f2c04ea6673863b87ac7f186cbb0d911f74085c
CVE-2016-7533,ImageMagick,bef1e4f637d8f665bc133a9c6d30df08d983bc3a
CVE-2016-7534,ImageMagick,430403b0029b37decf216d57f810899cab2317dd
CVE-2016-7536,ImageMagick,02dadf116124cfba35d7ebd9ced3e5ad0be0f176
CVE-2016-7537,ImageMagick,6d202a0514fb6a406456b8b728cde776becb25f8
CVE-2016-7538,ImageMagick,82e2049862a8b8a999e160734ad64fb6cc3b145f
CVE-2016-7799,ImageMagick,a7bb158b7bedd1449a34432feb3a67c8f1873bfa
CVE-2016-7906,ImageMagick,90406972f108c4da71f998601b06abdc2ac6f06e
CVE-2016-8677,ImageMagick,6e48aa92ff4e6e95424300ecd52a9ea453c19c60
CVE-2016-9298,ImageMagick,3cbfb163cff9e5b8cdeace8312e9bfee810ed02b
CVE-2016-9556,ImageMagick,ce98a7acbcfca7f0a178f4b1e7b957e419e0cc99
CVE-2016-9559,ImageMagick,b61d35eaccc0a7ddeff8a1c3abfcd0a43ccf210b
CVE-2017-11447,ImageMagick,72a50e400d98d7a2fd610caedfeb9af043dc5582
CVE-2017-11448,ImageMagick,f6463ca9588579633bbaed9460899d892aa3c64a
CVE-2017-11523,ImageMagick,83e0f8ffd7eeb7661b0ff83257da23d24ca7f078
CVE-2017-12427,ImageMagick,e793eb203e5e0f91f5037aed6585e81b1e27395b
CVE-2017-12640,ImageMagick,307fa45d512641fcd105f0d57ca50c1437cd1b81
CVE-2017-12641,ImageMagick,c9aa9f80828594eacbe3affe16c43d623562e5d8
CVE-2017-12643,ImageMagick,d9ccd8227c4c88a907cda5278408b73552cb0c07
CVE-2017-12644,ImageMagick,a33f7498f9052b50e8fe8c8422a11ba84474cb42
CVE-2017-12662,ImageMagick,bd40cc5f53067322861b881485cbd70f509f3829
CVE-2017-12663,ImageMagick,1dc0ac5016f1c4d50b100a086526d6a2453a5444
